StateWellNumber,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription,ParameterFlag,ParameterValue,ParameterUnit,PlusMinus
3813107,Anderson,124CRRZ,508,4/9/2014,1415,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.8658667,-95.4965861,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.13,mg/L,
3813107,Anderson,124CRRZ,508,6/12/2018,1550,1,1,23,7,"Analysis Balanced.  Faucet in PH, next to 106.",31.8658667,-95.4965861,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.121,mg/L,
3820106,Anderson,124CRRZ,878,10/19/2005,1345,1,1,24,7,"Analysis Balanced.  Faucet in bldg, befor chlorin.",31.708612,-95.583611,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3820804,Anderson,124CRRZ,925,3/25/2002,1630,1,1,23,7,Analysis Balanced.  ,31.638611,-95.583055,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.37,mg/L,
3820804,Anderson,124CRRZ,925,10/18/2005,925,1,1,24,7,Analysis Balanced.  Faucet back of bldg,31.638611,-95.583055,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.4,mg/L,
3820804,Anderson,124CRRZ,925,4/27/2010,1345,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.638611,-95.583055,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.4,mg/L,
3820804,Anderson,124CRRZ,925,4/11/2014,1010,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.638611,-95.583055,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.39,mg/L,
3821706,Anderson,124CRRZ,720,3/26/2002,1525,1,1,23,,Analysis Balanced.  No Field Alkalinity done.,31.6305194,-95.4616278,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.46,mg/L,
3821706,Anderson,124CRRZ,720,10/17/2005,1500,1,1,24,7,Analysis Balanced.  Faucet on discharge,31.6305194,-95.4616278,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.5,mg/L,
3821706,Anderson,124CRRZ,720,4/27/2010,1430,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.6305194,-95.4616278,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.5,mg/L,
3821706,Anderson,124CRRZ,720,4/14/2014,1332,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.6305194,-95.4616278,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.49,mg/L,
3821706,Anderson,124CRRZ,720,6/11/2018,1555,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.6305194,-95.4616278,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.438,mg/L,
3734103,Angelina,124CRRZ,1024,3/10/2010,945,1,1,23,7,Analysis Balanced.  ,31.461389,-94.855556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.16,mg/L,
3734103,Angelina,124CRRZ,1024,7/28/2014,1440,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.461389,-94.855556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3734103,Angelina,124CRRZ,1024,4/2/2018,1255,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.461389,-94.855556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.164,mg/L,
3734104,Angelina,124CRRZ,1030,3/6/2002,1315,1,1,23,7,Analysis Balanced.  ,31.465001,-94.850556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.13,mg/L,
3734104,Angelina,124CRRZ,1030,4/19/2006,1118,1,1,24,7,Analysis Balanced.  ,31.465001,-94.850556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3734405,Angelina,124CZWX,1010,7/28/2014,1325,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.4452778,-94.8708333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.74,mg/L,
3734405,Angelina,124CZWX,1010,4/2/2018,1330,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.4452778,-94.8708333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.506,mg/L,
3734505,Angelina,124CRRZ,1264,3/6/2002,900,1,1,23,7,Analysis Balanced.  ,31.4213889,-94.8033333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.32,mg/L,
3734505,Angelina,124CRRZ,1264,4/19/2006,1008,1,1,24,7,Analysis Balanced.  ,31.4213889,-94.8033333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.4,mg/L,
3734505,Angelina,124CRRZ,1264,3/9/2010,1345,1,1,23,7,Analysis Balanced.  ,31.4213889,-94.8033333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.37,mg/L,
3734505,Angelina,124CRRZ,1264,4/2/2018,1155,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.4213889,-94.8033333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.316,mg/L,
3734508,Angelina,124CRRZ,1260,4/19/2006,1518,1,1,24,7,Analysis Balanced.  ,31.4307222,-94.8110389,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.3,mg/L,
3734603,Angelina,124CRRZ,933,3/4/2002,1445,1,1,23,7,Analysis Balanced.  ,31.4427778,-94.7533333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.16,mg/L,
3734603,Angelina,124CRRZ,933,4/20/2006,1025,1,1,24,7,Analysis Balanced.  ,31.4427778,-94.7533333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3734603,Angelina,124CRRZ,933,7/28/2014,1115,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.4427778,-94.7533333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3734605,Angelina,124CRRZ,1020,3/10/2010,740,1,1,23,7,Analysis Balanced.  ,31.4447222,-94.7805556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3734605,Angelina,124CRRZ,1020,6/12/2014,935,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.4447222,-94.7805556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.21,mg/L,
3734806,Angelina,124CRRZ,1444,4/1/2002,1515,1,1,23,7,Analysis Balanced.  ,31.383611,-94.823889,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.7,mg/L,
3734806,Angelina,124CRRZ,1444,4/19/2006,1320,1,1,24,7,Analysis Balanced.  ,31.383611,-94.823889,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.8,mg/L,
3735410,Angelina,124CRRZ,1070,3/25/2010,915,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.418055,-94.720833,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
