Year	MUNICIPALITY_NAME	Cattle [#/km2]	Pork  [#/km2]	Poultry [#/km2]	Crops [%]	Flood control	Campsites [#/km2]	Outdoor activities [#/km2]	Human population [#/km2]	Distance from Montreal [km]	Soil capacity for agriculture																					CSDNAME	Year	CDNAME	gr	sept_gr	carbon	hunts	camp	outdo	modif.catt	modif.pig	modif.poult	modif.crop	modif.flood
1971	Saint Liboire	53.69	113.85	393.58	50.32	0	2.330847	0.0000	21.54	75.27	3																					Calixa_Lavallee	1991	Lajemmerais	4	2	0.779492699	0.041639825	0	0	0.403590196	0	0	0.696156675	0
1971	Saint Louis	31.63	58.79	338.19	39.85	0.67	0.000000	0.0000	NA	68.51	4																					Calixa_Lavallee	1996	Lajemmerais	5	2	0.822161121	0.224855054	0	0	0.399418002	0	0.001646668	0.762096981	1.280321854
1971	Saint Louis de Gonzague	47.24	0.42	312.84	42.77	0	0.000000	0.0000	14.28	42.01	2																					Calixa_Lavallee	2001	Lajemmerais	4	2	0.8586797	0.557973652	0	0	0.619987971	0	0.00155578	1.394475327	0
1971	Saint Marc sur Richelieu	51.57	0.16	25.75	50.68	0	2.260702	0.0000	15.55	42.03	3																					Calixa_Lavallee	2006	Lajemmerais	4	2	0.893482332	0.491349933	0	0	0.560186529	0	0	2.047212292	0
1971	Saint Marcel de Richelieu	39.87	23.45	7.92	45.93	0	0.000000	0.0000	11.88	74.44	2																					Carignan	1971	La_Vallee_du_Richelieu	5	7	0.340463615	0	0	0	0.301788671	0.008425514	0.123553564	0.791103509	1.072269553
1971	Saint Mathias sur Richelieu	37.12	2.93	7.31	50.47	0	0.000000	0.0000	33.76	37.51	2																					Carignan	1976	La_Vallee_du_Richelieu	4	2	0.396394834	0.005551977	0	0	0.138030072	0.002106378	0.021508264	1.042742218	2.530921951
1971	Saint Mathieu	8.68	15.44	1.94	49.51	0	0.000000	0.0000	21.22	25.3	2																					Carignan	1981	La_Vallee_du_Richelieu	5	2	0.469267216	0	0	0	0.151589701	0.002106378	0.021508264	0.825695145	2.560643708
1971	Saint Mathieu de Beloeil	60.52	0.41	262.21	83.82	0	0.000000	0.0000	13.48	36.69	2																					Carignan	1986	La_Vallee_du_Richelieu	5	2	0.544096654	0.03331186	0	0	0.098741916	0	0	0.77488868	1.280321854
1971	Saint Michel	17.14	26.68	588.76	58.5	0	0.000000	0.0000	24.17	32.55	2																					Carignan	1991	La_Vallee_du_Richelieu	5	2	0.605899041	0.199871159	0	0	0.138030072	0.002106378	0.002550197	0.968205479	0.960241391
1971	Saint Nazaire dActon	53.66	104.88	1195.78	63.22	0	0.000000	0.0000	15.9	88.72	3																					Carignan	1996	La_Vallee_du_Richelieu	5	2	0.605899041	0.746740858	0	0	0.138030072	0.002106378	0.001780326	1.700395108	1.600402318
1971	Saint Ours	45.42	6.92	306.24	47.08	0.67	5.042567	0.0000	15.05	62.37	2																					Carignan	2001	La_Vallee_du_Richelieu	5	2	0.605899041	0.763396788	0	0	0.138030072	0	0.000983724	0.87686194	7.361850661
1971	Saint Patrice de Sherrington	24.14	5.22	258	51.54	0	0.000000	0.0000	18.94	41.96	0																					Carignan	2006	La_Vallee_du_Richelieu	5	2	0.563302829	0.89109225	0	0	0	0	0.000181775	1.362045668	2.880724172
1971	Saint Paul dAbbotsford	22.93	243.43	5022.71	38.41	0	0.000000	0.0000	22.94	65.21	4																					Contrecoeur	1971	Lajemmerais	4	2	0.805761844	0	0	0	0.471736025	0	0.042022112	0.388615411	1.072269553
1971	Saint Paul de lIle aux Noix	45.59	12.32	39.84	58.83	0.33	0.000000	0.0000	30.13	53.19	2																					Contrecoeur	1976	Lajemmerais	4	2	0.986802374	0	0	0	0.328768857	0.000104665	0.008062258	0.271868639	0.884793853
1971	Saint Philippe	12.22	10.98	345.22	78.97	0	3.005294	0.0000	NA	26.6	2																					Contrecoeur	1981	Lajemmerais	2	3	1.130257107	0	0	4.578618175	0.293221767	1.50E-05	0.007078534	0.176561476	2.560643708
1971	Saint Pie	28.33	128.86	2523.49	65.44	0	0.000000	0.0000	29.63	63.19	2																					Contrecoeur	1986	Lajemmerais	2	3	1.243137468	0.013879942	0	5.492086333	0.248106447	0	0.002657123	0.219260526	0
